Reading (no int)	Naming (int)	Naming (no int)	Reading (int)
Slide 1	Slide 2	Slide 3	Slide 4
4.16	6.76	4.45	4.65
4.35	7.73	4.78	4.46
3.6	7	4	3.5
3.9	9.03	4.6	6.3
4.22	9.98	6.83	6.24
4.31	6.51	5.78	4.08
4.58	11.57	6.22	4.49
3.93	7.33	5.5	4.26
4.48	9.78	5.04	5.33
3.56	7.86	4.16	3.81
3.1	10.49	5.34	3.62
4.11	9.17	5.22	3.97
3.17	7.51	3.69	3.26
3.85	9.92	6.12	4.28
